ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01 00:00:00,AA,0,1047,-20.0,-7.03964781329143,-3.9628523348246314,1.01,20.897765817592276,793.0
2025-01-01 00:00:00,DL,0,449,-28.0,-10.044983161068599,-6.0003807881353195,0.0,22.17256817980545,211.0
2025-01-01 00:00:00,UA,0,625,-22.0,-7.03964781329143,-3.0001207865259647,3.0001207865259647,23.06811574166162,590.0
2025-01-01 00:00:00,AA,1,51,-18.0,-8.924561993432542,-6.0003807881353195,0.0,11.086028370328492,318.0
2025-01-01 00:00:00,DL,1,237,-26.0,-10.044983161068599,-7.03964781329143,-1.01,24.002636914918774,288.0
2025-01-01 00:00:00,UA,1,136,-21.0,-7.03964781329143,-1.9813812853544068,12.001040013389092,45.232237431294294,694.0
2025-01-01 00:00:00,UA,2,70,-14.0,-8.924561993432542,-7.03964781329143,1.01,23.06811574166162,92.0
2025-01-01 00:00:00,DL,3,6,-7.0,-3.9628523348246314,-3.0001207865259647,-3.0001207865259647,-1.9813812853544068,-1.0
2025-01-01 00:00:00,AA,5,11686,-21.0,-7.925884200121824,-5.022376194977744,-1.9813812853544068,10.044983161068599,3092.0
2025-01-01 00:00:00,DL,5,7940,-23.0,-7.925884200121824,-5.022376194977744,-1.01,7.925884200121824,1134.0
2025-01-01 00:00:00,UA,5,4066,-19.0,-7.925884200121824,-6.0003807881353195,-1.9813812853544068,5.022376194977744,777.0
2025-01-01 00:00:00,WN,5,14182,-15.0,-5.022376194977744,-3.0001207865259647,-1.01,3.9628523348246314,488.0
2025-01-01 00:00:00,AA,6,21128,-22.0,-7.03964781329143,-5.022376194977744,-1.01,11.086028370328492,3403.0
2025-01-01 00:00:00,DL,6,21404,-26.0,-7.925884200121824,-5.022376194977744,-1.01,8.924561993432542,1119.0
2025-01-01 00:00:00,UA,6,14795,-22.0,-7.925884200121824,-5.022376194977744,-1.9813812853544068,7.03964781329143,1035.0
2025-01-01 00:00:00,WN,6,32105,-15.0,-5.022376194977744,-3.0001207865259647,-1.01,5.022376194977744,686.0
2025-01-01 00:00:00,AA,7,23505,-25.0,-7.03964781329143,-3.9628523348246314,-1.01,15.852127465669819,2466.0
2025-01-01 00:00:00,DL,7,27089,-26.0,-7.03964781329143,-3.9628523348246314,0.0,14.079623662673095,1040.0
2025-01-01 00:00:00,UA,7,21605,-22.0,-7.03964781329143,-5.022376194977744,-1.9813812853544068,8.924561993432542,992.0
2025-01-01 00:00:00,WN,7,25820,-16.0,-5.022376194977744,-3.0001207865259647,0.0,7.925884200121824,481.0
2025-01-01 00:00:00,AA,8,22584,-19.0,-6.0003807881353195,-3.0001207865259647,1.01,24.977983750285134,3288.0
2025-01-01 00:00:00,DL,8,20513,-26.0,-6.0003807881353195,-3.9628523348246314,0.0,18.937903243191588,1048.0
2025-01-01 00:00:00,UA,8,20346,-22.0,-7.03964781329143,-3.9628523348246314,-1.01,14.079623662673095,1094.0
2025-01-01 00:00:00,WN,8,29869,-15.0,-5.022376194977744,-1.9813812853544068,1.01,12.997499126390684,533.0
2025-01-01 00:00:00,AA,9,15295,-21.0,-6.0003807881353195,-3.0001207865259647,3.0001207865259647,28.72740200993037,2063.0
2025-01-01 00:00:00,DL,9,15135,-24.0,-6.0003807881353195,-3.0001207865259647,3.0001207865259647,25.995604398722985,849.0
2025-01-01 00:00:00,UA,9,16265,-23.0,-6.0003807881353195,-3.0001207865259647,3.0001207865259647,24.002636914918774,1084.0
2025-01-01 00:00:00,WN,9,26126,-17.0,-5.022376194977744,-1.9813812853544068,3.0001207865259647,17.849535601381675,721.0
2025-01-01 00:00:00,AA,10,16367,-26.0,-5.022376194977744,-1.9813812853544068,7.03964781329143,37.13746682828029,3298.0
2025-01-01 00:00:00,DL,10,17583,-26.0,-7.03964781329143,-3.0001207865259647,3.9628523348246314,29.892123890416237,849.0
2025-01-01 00:00:00,UA,10,14417,-23.0,-6.0003807881353195,-3.0001207865259647,3.0001207865259647,27.056297108952908,691.0
2025-01-01 00:00:00,WN,10,26541,-18.0,-3.9628523348246314,-1.01,5.022376194977744,20.897765817592276,562.0
2025-01-01 00:00:00,AA,11,18563,-18.0,-5.022376194977744,-1.9813812853544068,7.925884200121824,40.1817788775486,2127.0
2025-01-01 00:00:00,DL,11,22630,-23.0,-6.0003807881353195,-1.9813812853544068,7.03964781329143,35.0006233314147,1171.0
2025-01-01 00:00:00,UA,11,14301,-22.0,-6.0003807881353195,-3.0001207865259647,5.022376194977744,31.092891914561495,808.0
2025-01-01 00:00:00,WN,11,27664,-17.0,-3.9628523348246314,-1.01,7.03964781329143,27.056297108952908,580.0
2025-01-01 00:00:00,AA,12,16057,-24.0,-5.022376194977744,-1.01,12.001040013389092,49.957129881134726,2700.0
2025-01-01 00:00:00,DL,12,19530,-26.0,-6.0003807881353195,-1.9813812853544068,7.925884200121824,37.87667712885539,1160.0
2025-01-01 00:00:00,UA,12,14459,-28.0,-6.0003807881353195,-3.0001207865259647,3.9628523348246314,31.092891914561495,1242.0
2025-01-01 00:00:00,WN,12,25139,-16.0,-3.9628523348246314,0.0,8.924561993432542,29.892123890416237,625.0
2025-01-01 00:00:00,AA,13,16256,-23.0,-5.022376194977744,-1.9813812853544068,11.086028370328492,48.97134702966695,2112.0
2025-01-01 00:00:00,DL,13,17017,-26.0,-6.0003807881353195,-1.9813812853544068,7.925884200121824,41.79649278367046,1176.0
